Datum;A3 lbs;A3 sec;A4 lbs;A4 sec;B1 lbs;B1 sec;B7 lbs;B7 sec;F1.1 lbs;F1.1 sec;F2.1 lbs;F2.1 sec;F3.1 lbs;F3.1 sec;C3 lbs;C3 sec;C5 lbs;C5 sec;D6 lbs;D6 sec;G5 lbs;G5 sec;B3 lbs;B3 sec;B4 lbs;B4 sec
10.11.2015;;;100;100;90;110;;;;;40;100;;;140;110;70;100;;;;;60;100;;
17.11.2015;60;70;104;120;96;120;100;100;;;44;100;;;146;110;76;120;90;120;;;70;120;;
19.11.2015;60;85;108;120;98;110;102;120;50;120;48;110;110;120;150;90;80;120;96;120;40;120;74;120;;
23.11.2015;60;85;112;110;98;120;104;120;52;125;50;90;110;120;152;120;84;120;100;120;42;120;76;120;;
25.11.2015;60;95;112;120;100;120;106;120;54;120;50;120;112;120;156;120;90;120;104;120;44;120;78;120;;
07.12.2015;62;90;112;120;102;120;108;90;56;120;52;90;114;120;160;120;92;120;106;120;46;120;80;120;;
09.12.2015;64;85;114;90;104;90;110;90;58;90;54;90;114;90;164;90;94;90;108;120;50;120;84;120;;
12.12.2015;64;90;114;90;106;90;112;90;58;90;54;90;116;90;166;90;94;90;110;120;52;120;88;120;;
15.12.2015;64;;116;90;108;;114;90;60;90;56;90;118;90;170;90;96;90;112;;54;90;90;90;;
07.01.2016;64;90;116;90;108;90;114;90;62;90;56;90;120;90;172;90;98;90;112;90;54;90;90;90;;
10.01.2016;66;60;118;90;110;90;116;90;64;90;56;80;122;90;174;90;100;90;114;90;56;90;92;90;;
12.01.2016;66;90;120;90;110;90;116;90;66;90;58;85;124;90;176;90;102;90;116;90;56;90;94;90;;
14.01.2016;66;80;122;90;112;90;118;90;68;90;58;90;126;90;176;90;104;90;118;90;56;90;96;90;;
17.01.2016;66;85;122;90;114;90;120;90;68;90;60;85;126;90;178;90;104;90;120;90;58;90;98;90;;
19.01.2016;66;75;124;90;116;90;120;90;70;90;60;90;128;90;180;90;106;90;122;90;58;90;100;90;;
25.01.2016;66;90;124;90;118;80;122;90;72;90;62;90;128;90;182;90;108;90;122;90;60;90;100;90;90;60
29.01.2016;68;70;126;90;118;80;122;90;72;90;62;90;128;90;184;90;108;90;124;90;60;90;102;90;82;90
31.01.2016;68;70;128;90;118;90;124;85;74;80;62;90;130;90;186;90;110;85;124;90;62;90;104;90;82;90
03.02.2016;68;75;130;90;120;80;124;90;74;90;64;90;130;90;188;90;110;90;126;90;62;90;106;90;84;90
08.02.2016;68;80;132;90;120;90;126;74;74;80;64;90;132;90;190;90;112;90;128;90;62;90;108;90;84;75
11.02.2016;68;90;134;90;120;90;128;74;74;85;66;70;134;75;192;90;112;90;130;90;64;90;110;90;86;90
15.02.2016;70;80;134;90;120;90;128;74;74;90;66;90;134;90;194;90;114;90;132;90;64;90;110;90;86;90
19.02.2016;70;85;136;90;120;90;130;76;76;90;68;70;136;75;196;90;114;90;134;90;64;90;114;90;86;90
22.02.2016;70;70;136;90;122;90;130;76;76;90;68;80;136;90;198;90;116;90;136;90;66;90;114;90;88;90
25.02.2016;70;85;138;90;122;90;132;76;76;60;68;90;136;90;200;90;116;90;136;90;66;90;114;90;88;90
01.03.2016;70;80;138;90;124;90;134;76;76;90;68;90;138;90;202;90;118;90;138;90;68;90;116;90;90;90
07.03.2016;70;75;140;90;124;90;134;78;78;70;70;90;138;90;204;90;118;70;138;90;68;90;116;90;90;90
